Date,Open,High,Low,Close*,Adj Close**,Volume,Statues
1-Jan-23,"16,547.91","16,630.44","16,521.23","16,625.08","16,625.08","9,244,361,700",Before
2-Jan-23,"16,625.51","16,759.34","16,572.23","16,688.47","16,688.47","12,097,775,227",Before
3-Jan-23,"16,688.85","16,760.45","16,622.37","16,679.86","16,679.86","13,903,079,207",Before
4-Jan-23,"16,680.21","16,964.59","16,667.76","16,863.24","16,863.24","18,421,743,322",Before
5-Jan-23,"16,863.47","16,884.02","16,790.28","16,836.74","16,836.74","13,692,758,566",Before
6-Jan-23,"16,836.47","16,991.99","16,716.42","16,951.97","16,951.97","14,413,662,913",Before
7-Jan-23,"16,952.12","16,975.02","16,914.19","16,955.08","16,955.08","7,714,767,174",Before
8-Jan-23,"16,954.15","17,091.14","16,924.05","17,091.14","17,091.14","9,768,827,914",Before
9-Jan-23,"17,093.99","17,389.96","17,093.99","17,196.55","17,196.55","18,624,736,866",Before
10-Jan-23,"17,192.95","17,484.72","17,162.99","17,446.29","17,446.29","15,808,338,949",Before
11-Jan-23,"17,446.36","17,934.90","17,337.99","17,934.90","17,934.90","18,372,283,782",Before
12-Jan-23,"18,117.59","19,030.09","17,995.20","18,869.59","18,869.59","34,971,338,710",Before
13-Jan-23,"18,868.91","19,964.32","18,753.16","19,909.57","19,909.57","29,225,029,694",Before
14-Jan-23,"19,910.54","21,075.14","19,907.83","20,976.30","20,976.30","38,967,784,639",Before
15-Jan-23,"20,977.48","20,993.75","20,606.99","20,880.80","20,880.80","19,298,407,543",Before
16-Jan-23,"20,882.22","21,360.88","20,715.75","21,169.63","21,169.63","26,792,494,050",Before
17-Jan-23,"21,175.83","21,438.66","20,978.53","21,161.52","21,161.52","24,999,983,362",Before
18-Jan-23,"21,161.05","21,564.50","20,541.54","20,688.78","20,688.78","30,005,625,418",Before
19-Jan-23,"20,686.75","21,163.01","20,685.38","21,086.79","21,086.79","21,152,848,261",Before
20-Jan-23,"21,085.37","22,692.36","20,919.13","22,676.55","22,676.55","28,799,154,319",Before
21-Jan-23,"22,677.43","23,282.35","22,511.83","22,777.63","22,777.63","32,442,278,429",Before
22-Jan-23,"22,777.99","23,056.73","22,387.90","22,720.42","22,720.42","24,746,386,230",Before
23-Jan-23,"22,721.09","23,126.49","22,654.30","22,934.43","22,934.43","26,518,700,512",Before
