DATE,DAILY_DIFFICULTY,DAILY_BLOCK,NUMBER_OF_MINERS,TOTAL_DIFFICULTY,STATUS
2023-03-25T00:00:00Z,0,1052415,412,5.88E+22,Before
2023-03-26T00:00:00Z,0,1011463,407,5.88E+22,Before
2023-03-27T00:00:00Z,0,1100122,439,5.88E+22,Before
2023-03-28T00:00:00Z,0,1149677,438,5.88E+22,Before
2023-03-29T00:00:00Z,0,1165012,459,5.88E+22,Before
2023-03-30T00:00:00Z,0,1187924,432,5.88E+22,Before
2023-03-31T00:00:00Z,0,1150727,458,5.88E+22,Before
2023-04-01T00:00:00Z,0,1020143,470,5.88E+22,Before
2023-04-02T00:00:00Z,0,981226,415,5.88E+22,Before
2023-04-03T00:00:00Z,0,1052294,422,5.88E+22,Before
2023-04-04T00:00:00Z,0,1068725,447,5.88E+22,Before
2023-04-05T00:00:00Z,0,1123693,485,5.88E+22,Before
2023-04-06T00:00:00Z,0,1036898,501,5.88E+22,Before
2023-04-07T00:00:00Z,0,1043552,487,5.88E+22,Before
2023-04-08T00:00:00Z,0,924776,469,5.88E+22,Before
2023-04-09T00:00:00Z,0,956899,447,5.88E+22,Before
2023-04-10T00:00:00Z,0,1016342,459,5.88E+22,Before
2023-04-11T00:00:00Z,0,1084502,473,5.88E+22,Before
2023-04-12T00:00:00Z,0,1021632,476,5.88E+22,Before
2023-04-13T00:00:00Z,0,1094764,517,5.88E+22,After
2023-04-14T00:00:00Z,0,1166392,490,5.88E+22,After
2023-04-15T00:00:00Z,0,1056192,503,5.88E+22,After
2023-04-16T00:00:00Z,0,854249,517,5.88E+22,After
2023-04-17T00:00:00Z,0,1011979,483,5.88E+22,After
2023-04-18T00:00:00Z,0,1070108,521,5.88E+22,After
2023-04-19T00:00:00Z,0,1085066,487,5.88E+22,After
2023-04-20T00:00:00Z,0,1073576,483,5.88E+22,After
2023-04-21T00:00:00Z,0,1009840,485,5.88E+22,After
2023-04-22T00:00:00Z,0,861896,561,5.88E+22,After
2023-04-23T00:00:00Z,0,867666,560,5.88E+22,After
2023-04-24T00:00:00Z,0,940804,521,5.88E+22,After
2023-04-25T00:00:00Z,0,976311,541,5.88E+22,After
2023-04-26T00:00:00Z,0,151795,147,5.88E+22,After
