DATE,AVERAGE_GAS_USED,DAILY_BLOCK,NUMBER_OF_USERS,DAILY_TRANSACTION,STATUS
2023-03-20T00:00:00Z,16670695.2876631,1123422,395330,1123422,Before
2023-03-11T00:00:00Z,16514551.5280437,1031282,307256,1031282,Before
2023-03-26T00:00:00Z,16187298.7068395,1011463,334049,1011463,Before
2023-01-09T00:00:00Z,16547439.4677459,1093675,378801,1093675,Before
2023-02-26T00:00:00Z,16746171.0038739,982721,375107,982721,Before
2023-04-01T00:00:00Z,16351619.3534289,1020143,357749,1020143,Before
2023-04-10T00:00:00Z,16110837.53586,1016342,371158,1016342,Before
2023-04-14T00:00:00Z,16151309.5610215,1166392,456897,1166392,After
2023-04-15T00:00:00Z,16560815.7328516,1056192,448000,1056192,After
2023-04-21T00:00:00Z,15891847.7556247,1009840,325145,1009840,After
2023-01-15T00:00:00Z,16383357.0587983,1000777,323998,1000777,Before
2023-03-28T00:00:00Z,16518181.3531722,1149677,412753,1149677,Before
2023-02-12T00:00:00Z,16322852.8080471,953020,311007,953020,Before
2023-03-12T00:00:00Z,16402483.4385901,974883,327065,974883,Before
2023-03-09T00:00:00Z,16424876.8322154,1037747,345694,1037747,Before
2023-01-16T00:00:00Z,16539147.9019403,1057284,353803,1057284,Before
2023-03-24T00:00:00Z,16370478.581306,1084231,363886,1084231,Before
2023-03-27T00:00:00Z,16395665.6178915,1100122,355626,1100122,Before
2023-02-13T00:00:00Z,16652487.7890441,1054742,351835,1054742,Before
2023-03-15T00:00:00Z,16771845.5585293,1076742,378650,1076742,Before
2023-02-18T00:00:00Z,16739544.1551099,972865,320481,972865,Before
2023-01-18T00:00:00Z,16618611.2644012,1118225,403309,1118225,Before
2023-01-11T00:00:00Z,16724996.0520099,1083178,356870,1083178,Before
2023-03-05T00:00:00Z,16365543.5436931,940858,301250,940858,Before
2023-04-26T00:00:00Z,15554817.6891663,151795,56854,151795,After
2023-01-08T00:00:00Z,16881039.0320459,1184114,586168,1184114,Before
2023-02-27T00:00:00Z,16628137.0028005,1034112,373782,1034112,Before
2023-03-14T00:00:00Z,16528740.2261902,1105574,382701,1105574,Before
2023-01-06T00:00:00Z,16691064.9813575,1028132,325133,1028132,Before
2023-02-28T00:00:00Z,16575527.8526259,1044634,340813,1044634,Before
2023-01-27T00:00:00Z,16677181.8747073,1100192,372419,1100192,Before
2023-03-04T00:00:00Z,16419252.0192049,971157,317789,971157,Before
2023-01-01T00:00:00Z,16073442.4333838,742785,230298,742785,Before
2023-02-22T00:00:00Z,16934696.7595636,1080839,357668,1080839,Before
2023-02-07T00:00:00Z,16727786.8102457,1142836,352477,1142836,Before
2023-02-19T00:00:00Z,16663757.9411831,1002399,311231,1002399,Before
2023-04-03T00:00:00Z,16413101.5342898,1052294,347657,1052294,Before
2023-01-03T00:00:00Z,16460585.4667783,948116,290073,948116,Before
2023-01-07T00:00:00Z,16506618.3089587,957607,329701,957607,Before
2023-02-11T00:00:00Z,16528736.5690223,961493,315142,961493,Before
2023-04-16T00:00:00Z,15987800.9675657,854249,304876,854249,After
