DAY_OF_WEEK,HOUR_OF_DAY,transactions per minute on hour of day (UTC),User per minute on hour of day (UTC),block per minute on hour of day (UTC)
5_Tuesday,8,1372.450000,620.100000,1372.450000
5_Tuesday,9,1416.366667,681.200000,1416.366667
5_Tuesday,10,1341.216667,627.350000,1341.216667
5_Tuesday,11,1470.833333,668.266667,1470.833333
5_Tuesday,12,1475.533333,653.050000,1475.533333
5_Tuesday,13,1519.266667,667.516667,1519.266667
5_Tuesday,14,1589.500000,708.616667,1589.500000
5_Tuesday,15,1541.050000,679.166667,1541.050000
5_Tuesday,16,1548.966667,681.066667,1548.966667
5_Tuesday,17,1520.416667,646.816667,1520.416667
5_Tuesday,18,1551.866667,668.866667,1551.866667
5_Tuesday,19,1465.450000,628.016667,1465.450000
5_Tuesday,20,1499.550000,630.516667,1499.550000
5_Tuesday,21,1542.766667,675.950000,1542.766667
5_Tuesday,22,1473.666667,649.366667,1473.666667
5_Tuesday,23,1365.000000,619.633333,1365.000000
6_Monday,0,1178.766667,497.483333,1178.766667
6_Monday,1,1187.483333,502.633333,1187.483333
6_Monday,2,1228.533333,527.766667,1228.533333
6_Monday,3,1177.166667,511.816667,1177.166667
6_Monday,4,1190.250000,520.166667,1190.250000
6_Monday,5,1184.383333,510.800000,1184.383333
6_Monday,6,1269.050000,555.400000,1269.050000
6_Monday,7,1297.566667,566.533333,1297.566667
6_Monday,8,1348.583333,590.233333,1348.583333
6_Monday,9,1298.833333,596.083333,1298.833333
6_Monday,10,1338.483333,634.683333,1338.483333
6_Monday,11,1352.566667,623.550000,1352.566667
6_Monday,12,1446.383333,665.033333,1446.383333
6_Monday,13,1544.633333,655.866667,1544.633333
6_Monday,14,1571.383333,679.216667,1571.383333
6_Monday,15,1525.833333,642.300000,1525.833333
6_Monday,16,1470.616667,642.950000,1470.616667
6_Monday,17,1503.033333,642.533333,1503.033333
6_Monday,18,1471.566667,616.516667,1471.566667
6_Monday,19,1414.483333,613.050000,1414.483333
6_Monday,20,1411.750000,598.016667,1411.750000
6_Monday,21,1434.783333,591.116667,1434.783333
6_Monday,22,1371.916667,587.033333,1371.916667
6_Monday,23,1328.333333,580.216667,1328.333333
7_Sunday,0,1465.133333,776.450000,1465.133333
7_Sunday,1,1147.766667,524.333333,1147.766667
7_Sunday,2,1098.383333,499.700000,1098.383333
7_Sunday,3,1034.166667,493.283333,1034.166667
7_Sunday,4,1059.466667,478.883333,1059.466667
7_Sunday,5,1071.950000,502.016667,1071.950000
7_Sunday,6,1040.833333,481.033333,1040.833333
7_Sunday,7,1065.850000,493.783333,1065.850000
7_Sunday,8,1081.300000,485.783333,1081.300000
7_Sunday,9,1093.566667,520.633333,1093.566667
7_Sunday,10,1013.416667,470.066667,1013.416667
7_Sunday,11,1071.183333,509.766667,1071.183333
7_Sunday,12,1155.683333,538.400000,1155.683333
7_Sunday,13,1216.000000,577.950000,1216.000000
7_Sunday,14,1295.716667,601.583333,1295.716667
7_Sunday,15,1311.666667,594.333333,1311.666667
7_Sunday,16,1276.016667,573.933333,1276.016667
7_Sunday,17,1385.366667,615.516667,1385.366667
7_Sunday,18,1314.666667,590.233333,1314.666667
7_Sunday,19,1380.000000,606.200000,1380.000000
7_Sunday,20,1392.050000,601.683333,1392.050000
7_Sunday,21,1269.833333,533.883333,1269.833333
7_Sunday,22,1274.533333,539.750000,1274.533333
7_Sunday,23,1184.033333,516.083333,1184.033333
