DATE,TOTAL_DAILY_DIFFICULTY,DAILY_DIFFICULTY,STATUS
2022-03-10T00:00:00Z,4.34276286187768e+22,1.28118880542501e+16,Before
2022-03-11T00:00:00Z,4.35099961352877e+22,1.27416199083286e+16,Before
2022-03-12T00:00:00Z,4.35916393918147e+22,1.29664403484206e+16,Before
2022-03-13T00:00:00Z,4.36751707415344e+22,1.27704746231158e+16,Before
2022-03-14T00:00:00Z,4.37559044213527e+22,1.26905561087179e+16,Before
2022-03-15T00:00:00Z,4.38374648325889e+22,1.26130238394264e+16,Before
2022-03-16T00:00:00Z,4.39183985393307e+22,1.27662998742622e+16,Before
2022-03-17T00:00:00Z,4.40003405041967e+22,1.27211513818706e+16,Before
2022-03-18T00:00:00Z,4.40818117067398e+22,1.27700682116981e+16,Before
2022-03-19T00:00:00Z,4.41647464388775e+22,1.30154385356495e+16,Before
2022-03-20T00:00:00Z,4.42479512536835e+22,1.27612841897139e+16,Before
2022-03-21T00:00:00Z,4.43310005025018e+22,1.30502865829932e+16,Before
2022-03-22T00:00:00Z,4.44139816003656e+22,1.27985623483008e+16,Before
2022-03-23T00:00:00Z,4.44966845424963e+22,1.2913358166311e+16,Before
2022-03-24T00:00:00Z,4.4579608727786e+22,1.28306341319358e+16,Before
2022-03-25T00:00:00Z,4.46629016895564e+22,1.31435701333936e+16,Before
2022-03-26T00:00:00Z,4.47466053313714e+22,1.28742743826234e+16,Before
2022-03-27T00:00:00Z,4.48284730379321e+22,1.2841988960311e+16,Before
2022-03-28T00:00:00Z,4.49121252190542e+22,1.3061657456637e+16,Before
2022-03-29T00:00:00Z,4.49958786467385e+22,1.29885023929956e+16,Before
2022-03-30T00:00:00Z,4.50805535309666e+22,1.3212701760999e+16,Before
2022-03-31T00:00:00Z,4.51639315359536e+22,1.2959498619583e+16,Before
2022-04-01T00:00:00Z,4.52475874669368e+22,1.31437684654915e+16,Before
2022-04-02T00:00:00Z,4.53321384723046e+22,1.3097528953797e+16,Before
2022-04-03T00:00:00Z,4.54156999458287e+22,1.30810632983632e+16,Before
2022-04-04T00:00:00Z,4.54987809308807e+22,1.30796830168416e+16,Before
2022-04-05T00:00:00Z,4.55820726456406e+22,1.30991271335656e+16,Before
2022-04-06T00:00:00Z,4.56667314553918e+22,1.3111587926996e+16,Before
2022-04-07T00:00:00Z,4.57510342600776e+22,1.3243683185524e+16,Before
2022-04-08T00:00:00Z,4.58358221710401e+22,1.32647012733079e+16,Before
2022-04-09T00:00:00Z,4.59197749529755e+22,1.31288730333585e+16,Before
2022-04-10T00:00:00Z,4.60043053939626e+22,1.31281447181279e+16,Before
2022-04-11T00:00:00Z,4.60894259815223e+22,1.34208210504364e+16,Before
2022-04-12T00:00:00Z,4.61743200175076e+22,1.3007936619703e+16,Before
2022-04-13T00:00:00Z,4.62586922346411e+22,1.32778123364224e+16,Before
2022-04-14T00:00:00Z,4.63427194076038e+22,1.32211541759861e+16,Before
2022-04-15T00:00:00Z,4.64271184076242e+22,1.31221485096121e+16,Before
2022-04-16T00:00:00Z,4.6511222974602e+22,1.30879788545201e+16,Before
2022-04-17T00:00:00Z,4.65965838662162e+22,1.34564978107466e+16,Before
2022-04-18T00:00:00Z,4.66829402341526e+22,1.35929477685838e+16,Before
2022-04-19T00:00:00Z,4.67693111317614e+22,1.35267498612258e+16,Before
2022-04-20T00:00:00Z,4.68549266769722e+22,1.32252996273286e+16,Before
2022-04-21T00:00:00Z,4.69402812474232e+22,1.34911227343294e+16,Before
2022-04-22T00:00:00Z,4.70255290245672e+22,1.34170382038054e+16,Before
2022-04-23T00:00:00Z,4.71119891416711e+22,1.36530539919303e+16,Before
2022-04-24T00:00:00Z,4.71991302802655e+22,1.36073031961251e+16,Before
2022-04-25T00:00:00Z,4.72854379104039e+22,1.35833955158668e+16,Before
2022-04-26T00:00:00Z,4.7370960899782e+22,1.3315269921763e+16,Before
2022-04-27T00:00:00Z,4.74545391585146e+22,1.32043995112332e+16,Before
2022-04-28T00:00:00Z,4.75393151449558e+22,1.33488338886362e+16,Before
2022-04-29T00:00:00Z,4.76239835776689e+22,1.33176265915139e+16,Before
2022-04-30T00:00:00Z,4.77096416365801e+22,1.36229833393001e+16,Before
2022-05-01T00:00:00Z,4.77969636902133e+22,1.38265362666652e+16,Before
2022-05-02T00:00:00Z,4.78852935455396e+22,1.3770495940603e+16,Before
2022-05-03T00:00:00Z,4.7972858457914e+22,1.40164166602038e+16,Before
2022-05-04T00:00:00Z,4.80611375751541e+22,1.39306708673568e+16,Before
2022-05-05T00:00:00Z,4.81486223004381e+22,1.38567110509651e+16,Before
2022-05-06T00:00:00Z,4.82355528472086e+22,1.38077861017795e+16,Before
2022-05-07T00:00:00Z,4.83218260578325e+22,1.37691765171359e+16,Before
2022-05-08T00:00:00Z,4.8409299786625e+22,1.39832815449329e+16,Before
2022-05-09T00:00:00Z,4.84988091536025e+22,1.44327255335745e+16,Before
2022-05-10T00:00:00Z,4.85867230229576e+22,1.40008537225756e+16,Before
2022-05-11T00:00:00Z,4.86751230036263e+22,1.43447207614649e+16,Before
2022-05-12T00:00:00Z,4.87651920724678e+22,1.41997215000449e+16,Before
2022-05-13T00:00:00Z,4.88544093701728e+22,1.44599906353088e+16,Before
2022-05-14T00:00:00Z,4.89451839768369e+22,1.40743647828477e+16,Before
2022-05-15T00:00:00Z,4.90340957290751e+22,1.43651700294846e+16,Before
2022-05-16T00:00:00Z,4.9123761006079e+22,1.4229533784052e+16,Before
2022-05-17T00:00:00Z,4.92130088605701e+22,1.41776845000761e+16,Before
2022-05-18T00:00:00Z,4.93026850664731e+22,1.44488058888692e+16,Before
2022-05-19T00:00:00Z,4.93923878717011e+22,1.45624061727351e+16,Before
2022-05-20T00:00:00Z,4.94819203769823e+22,1.46341910917038e+16,Before
2022-05-21T00:00:00Z,4.95723076487686e+22,1.47017995548652e+16,Before
2022-05-22T00:00:00Z,4.96614962575469e+22,1.43386315007002e+16,Before
2022-05-23T00:00:00Z,4.97498150683984e+22,1.44062343566875e+16,Before
2022-05-24T00:00:00Z,4.98394548658189e+22,1.46095413128015e+16,Before
2022-05-25T00:00:00Z,4.99276054690761e+22,1.43665910300578e+16,Before
2022-05-26T00:00:00Z,5.00156458554845e+22,1.42455152126297e+16,Before
2022-05-27T00:00:00Z,5.01042761448665e+22,1.45720813925154e+16,Before
2022-05-28T00:00:00Z,5.01933700107464e+22,1.42938479045817e+16,Before
2022-05-29T00:00:00Z,5.02824945441024e+22,1.45289943340253e+16,Before
2022-05-30T00:00:00Z,5.03711229433034e+22,1.44812053159586e+16,Before
2022-05-31T00:00:00Z,5.04601263055904e+22,1.4447609827287e+16,Before
2022-06-01T00:00:00Z,5.05479855243223e+22,1.41921641899683e+16,Before
2022-06-02T00:00:00Z,5.06351421550302e+22,1.43251638496419e+16,Before
2022-06-03T00:00:00Z,5.07238474380977e+22,1.44449133878461e+16,Before
2022-06-04T00:00:00Z,5.08128057264158e+22,1.50897927470275e+16,Before
